base_trial_name,session_id,repeat_instance_index,trial_order_position,symmetry_transform
T23,216,0,70,0
T2C,216,0,71,2
T5E,216,0,72,7
T11,216,4,73,2
T15,216,0,74,0
T2D,217,0,1,4
T7C,217,0,2,3
T8C,217,0,3,7
T7D,217,0,4,4
T4F,217,0,5,0
T33,217,0,6,6
T10,217,0,7,7
T5B,217,0,8,5
T7A,217,0,9,1
T5D,217,0,10,7
T17,217,0,11,6
T9,217,0,12,2
T11,217,0,13,7
T27,217,0,14,4
T4E,217,0,15,7
T1C,217,0,16,5
T30,217,0,17,1
T23,217,0,18,1
T3B,217,0,19,2
T24,217,0,20,1
T31,217,0,21,4
T10,217,1,22,0
T4B,217,0,23,4
T26,217,0,24,4
T6B,217,0,25,0
T21,217,0,26,1
T9,217,1,27,3
T11,217,1,28,0
T6A,217,0,29,7
T13,217,0,30,1
T3D,217,0,31,4
T14,217,0,32,2
T1B,217,0,33,4
T8A,217,0,34,5
T2B,217,0,35,2
T5A,217,0,36,4
T10,217,2,37,1
T29,217,0,38,1
T1D,217,0,39,6
T3A,217,0,40,1
T15,217,0,41,1
T9,217,2,42,4
T11,217,2,43,1
T2C,217,0,44,3
T25,217,0,45,4
T28,217,0,46,6
T1A,217,0,47,3
T3C,217,0,48,3
T5E,217,0,49,0
T20,217,0,50,6
T18,217,0,51,1
T10,217,3,52,2
T22,217,0,53,4
T7B,217,0,54,2
T5F,217,0,55,1
T32,217,0,56,4
T9,217,3,57,5
T11,217,3,58,2
T19,217,0,59,7
T6C,217,0,60,1
T5C,217,0,61,6
T34,217,0,62,6
T4C,217,0,63,5
T12,217,0,64,3
T2A,217,0,65,1
T4D,217,0,66,6
T10,217,4,67,3
T8B,217,0,68,6
T6D,217,0,69,2
T4A,217,0,70,3
T16,217,0,71,4
T9,217,4,72,6
T11,217,4,73,3
T8D,217,0,74,0
T33,218,0,1,7
T8D,218,0,2,1
T21,218,0,3,2
T1C,218,0,4,6
T26,218,0,5,5
T5A,218,0,6,5
T11,218,0,7,0
T2D,218,0,8,5
T32,218,0,9,5
T6C,218,0,10,2
T10,218,0,11,0
T4E,218,0,12,0
T9,218,0,13,3
T17,218,0,14,7
T3B,218,0,15,3
T24,218,0,16,2
T5E,218,0,17,1
T6B,218,0,18,1
T2A,218,0,19,2
T13,218,0,20,2
T20,218,0,21,7
T11,218,1,22,1
T31,218,0,23,5
T5C,218,0,24,7
T4A,218,0,25,4
T10,218,1,26,1
T30,218,0,27,2
T9,218,1,28,4
T27,218,0,29,5
T25,218,0,30,5
T5D,218,0,31,0
T7A,218,0,32,2
T8C,218,0,33,0
T5F,218,0,34,2
T22,218,0,35,5
T1A,218,0,36,4
T11,218,2,37,2
T15,218,0,38,2
T29,218,0,39,2
T28,218,0,40,7
T10,218,2,41,2
T1D,218,0,42,7
T9,218,2,43,5
T3A,218,0,44,2
T3C,218,0,45,4
T34,218,0,46,7
T6A,218,0,47,0
T8B,218,0,48,7
T4C,218,0,49,6
T1B,218,0,50,5
T7B,218,0,51,3
T11,218,3,52,3
T8A,218,0,53,6
T16,218,0,54,5
T19,218,0,55,0
T10,218,3,56,3
T2C,218,0,57,4
T9,218,3,58,6
T7C,218,0,59,4
T4F,218,0,60,1
T12,218,0,61,4
T23,218,0,62,2
T18,218,0,63,2
T14,218,0,64,3
T2B,218,0,65,3
T6D,218,0,66,3
T11,218,4,67,4
T3D,218,0,68,5
T4D,218,0,69,7
T5B,218,0,70,6
T10,218,4,71,4
T7D,218,0,72,5
T9,218,4,73,7
T4B,218,0,74,5
T6B,219,0,1,2
T29,219,0,2,3
T7C,219,0,3,5
T14,219,0,4,4
T11,219,0,5,1
T28,219,0,6,0
T18,219,0,7,3
T20,219,0,8,0
T3C,219,0,9,5
T10,219,0,10,1
T15,219,0,11,3
T5F,219,0,12,3
T9,219,0,13,4
T6A,219,0,14,1
T1D,219,0,15,0
T21,219,0,16,3
T16,219,0,17,6
T3D,219,0,18,6
T5E,219,0,19,2
T11,219,1,20,2
T8B,219,0,21,0
T4B,219,0,22,6
T12,219,0,23,5
T5A,219,0,24,6
T10,219,1,25,2
T7D,219,0,26,6
T4C,219,0,27,7
T9,219,1,28,5
T26,219,0,29,6
T1A,219,0,30,5
T31,219,0,31,6
T19,219,0,32,1
T5D,219,0,33,1
T8C,219,0,34,1
T11,219,2,35,3
T7B,219,0,36,4
T17,219,0,37,0
T2C,219,0,38,5
T25,219,0,39,6
T10,219,2,40,3
T24,219,0,41,3
T34,219,0,42,0
T9,219,2,43,6
T13,219,0,44,3
T1C,219,0,45,7
T4F,219,0,46,2
T5C,219,0,47,0
T30,219,0,48,3
T2A,219,0,49,3
T11,219,3,50,4
T3B,219,0,51,4
T2D,219,0,52,6
T6C,219,0,53,3
T22,219,0,54,6
T10,219,3,55,4
T32,219,0,56,6
T27,219,0,57,6
T9,219,3,58,7
T8D,219,0,59,2
T23,219,0,60,3
T3A,219,0,61,3
T5B,219,0,62,7
T33,219,0,63,0
T4A,219,0,64,5
T11,219,4,65,5
T2B,219,0,66,4
T1B,219,0,67,6
T4E,219,0,68,1
T6D,219,0,69,4
T10,219,4,70,5
T7A,219,0,71,3
T4D,219,0,72,0
T9,219,4,73,0
T8A,219,0,74,7
T4F,220,0,1,3
T5A,220,0,2,7
T6C,220,0,3,4
T32,220,0,4,7
T1D,220,0,5,1
T11,220,0,6,2
T31,220,0,7,7
T33,220,0,8,1
T10,220,0,9,2
T2C,220,0,10,6
T9,220,0,11,5
T5F,220,0,12,4
T17,220,0,13,1
T8A,220,0,14,0
T34,220,0,15,1
T5C,220,0,16,1
